,Unnamed: 0,title,artist,count,year,id
65,65,Beautiful As You,Thomas Rhett,19,2024,2ObBVRY8a2lnAkNG62u9eC
66,66,360,Charli XCX,19,2024,4w2GLmK2wnioVnb5CPQeex
67,67,High Road,Koe Wetzel & Jessie Murph,19,2024,73KAidtqbDftZjy8AD0H04
68,68,Mmhmm,BigXthaPlug,19,2024,4QTlxavdQGUVitxAvQqqkU
69,69,Carnival,¥$: Kanye West & Ty Dolla $ign,19,2024,
70,70,Please Please Please,Sabrina Carpenter,19,2024,5N3hjp1WNayUPZrA8kJmJP
71,71,One Of The Girls,"The Weeknd, JENNIE & Lily Rose Depp",19,2024,7CyPwkp0oE8Ro9Dd5CUDjW
72,72,La Diabla,Xavi,19,2024,0R6NfOiLzLj4O5VbYSJAjf
73,73,Nights Like This,Future & Metro Boomin,18,2024,6c0rii1TOf2fvq3hhqqExW
74,74,Pink Pony Club,Chappell Roan,18,2024,1k2pQc5i348DCHwbn5KTdc
75,75,Everybody,Nicki Minaj Featuring Lil Uzi Vert,18,2024,5ZJGv7aGdIr9IGpxzSG18T
76,76,Fast Car,Luke Combs,18,2024,1Lo0QY9cvc8sUB2vnIOxDT
77,77,Illusion,Dua Lipa,18,2024,5q0EXnBYyeCdXD72FzJxH0
78,78,We Ride,Bryan Martin,18,2024,72kGuWpRiuA149Bn5lDkIO
79,79,Whiskey Whiskey,Moneybagg Yo Featuring Morgan Wallen,18,2024,7hRLuo4QnzCsjICXUOhTE6
80,80,Bandit,Don Toliver,18,2024,0PHrcmOtDE89ew4vVEaD7S
81,81,I Am Not Okay,Jelly Roll,18,2024,3SaS0Va6o6jYkWvadT86C6
82,82,FTCU,Nicki Minaj,18,2024,1a73gcEg6h6Re6hHXoVltJ
83,83,Si Antes Te Hubiera Conocido,Karol G,17,2024,6WatFBLVB0x077xWeoVc2k
84,84,TGIF,GloRilla,17,2024,2hKYtHbwYOSjvYQhVdUpdQ
85,85,Chevrolet,Dustin Lynch Featuring Jelly Roll,17,2024,7FKAVg9SA7QYLxdVRLnKjd
86,86,Paint The Town Red,Doja Cat,17,2024,2IGMVunIBsBLtEQyoI1Mu7
87,87,BAND4BAND,Central Cee & Lil Baby,17,2024,7iabz12vAuVQYyekFIWJxD
88,88,Kehlani,Jordan Adetunji,17,2024,2hrycoFU1mZw6YPvMcn8yC
89,89,Water,Tyla,17,2024,5aIVCx5tnk0ntmdiinnYvw
90,90,U My Everything,Sexyy Red & Drake,17,2024,1TgStpMGTflN84asKJ8VU3
91,91,You Look Like You Love Me,Ella Langley Featuring Riley Green,17,2024,0y5Ex8oQ8zCH5TQxHUy1Eo
92,92,Where The Wild Things Are,Luke Combs,17,2024,0eBFgRxyVSeuT4iyrbukdn
93,93,Pour Me A Drink,Post Malone Featuring Blake Shelton,17,2024,0mNzElhEofvgMWAJoOA4q9
94,94,Man Made A Bar,Morgan Wallen Featuring Eric Church,17,2024,73zawW1ttszLRgT9By826D
95,95,Euphoria,Kendrick Lamar,16,2024,77DRzu7ERs0TX3roZcre7Q
96,96,Snooze,SZA,16,2024,4iZ4pt7kvcaH6Yo8UoZ4s2
97,97,Burn It Down,Parker McCollum,16,2024,09hVlIVHtEE1nLUv6YGZiW
98,98,Casual,Chappell Roan,16,2024,3WSOUb3U7tqURbBSgZTrZX
99,99,Mamushi,Megan Thee Stallion Featuring Yuki Chiba,16,2024,5b3XJ1pjrHO5JtY2PcTjnI
